date,bus_rkl,bus_rkn,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter
2022-03-19,84786,1647,22078,69544,67400,78543,17304,,6783,3362,5672,,
2022-03-20,79729,1592,23101,59574,59412,65824,16675,,8397,2085,6254,,
2022-03-21,113205,1692,24745,92882,85220,115708,17270,,4976,1217,4868,,
2022-03-22,110578,1734,24918,92554,86997,118980,17171,,4125,1264,4513,,
2022-03-23,115027,1697,25115,95640,89512,122409,17375,,4274,1714,4601,,
2022-03-24,111113,1818,24678,95882,89178,122554,18382,,5742,1505,5416,,
2022-03-25,112867,1721,25287,101961,93101,128740,20223,,9185,3077,6854,,
2022-03-26,87936,1852,22580,75783,69651,88042,19420,,8334,4064,6588,,
2022-03-27,83529,1699,23066,67675,60520,73897,17907,,9520,2166,6953,,
2022-03-28,114689,1671,26432,98814,89904,122934,19285,,6433,1585,5375,,
2022-03-29,115893,1634,26001,99823,90858,128467,19778,,5170,1609,5306,,
2022-03-30,117810,1600,26773,103870,97589,133843,20868,,5327,1669,5550,,
2022-03-31,116168,1564,26527,106728,99674,136642,21886,,6515,2446,7215,,
2022-04-01,126300,2071,28814,115885,105996,146680,24158,,9382,3284,8959,,
2022-04-02,96739,2140,25305,84875,77900,93015,21367,,8056,2846,7978,,
2022-04-03,71676,1456,23284,53264,48185,55332,12723,,7555,1228,5661,,
2022-04-04,123224,2102,28323,100978,93220,126512,17636,,6337,980,5823,,
2022-04-05,122890,2150,27776,103119,97368,132361,18195,,4615,780,4635,,
2022-04-06,126162,2317,28674,105192,100332,137164,18339,,4093,730,4680,,
2022-04-07,124169,2433,28454,107192,100993,137458,19895,,4698,1074,5218,,
2022-04-08,124755,2407,29873,109911,76598,141574,20130,,8188,869,7074,,
2022-04-09,82846,1570,23069,70256,64561,75926,15338,,6134,1140,5386,,
2022-04-10,81465,1589,24764,62988,56411,66454,15207,,8578,1126,6757,,
2022-04-11,128486,2430,29526,109002,101997,138042,19680,,5048,654,5403,,
2022-04-12,129206,2383,29520,110118,104178,142081,20346,,3836,633,4374,,
2022-04-13,130106,2343,30029,112234,107497,145722,20908,,4250,594,4679,,
2022-04-14,129392,2316,29384,112208,105452,144658,20484,,5435,1193,6083,,
2022-04-15,128674,2244,28812,117561,109943,149336,22378,,8702,1076,7218,,
2022-04-16,87684,1627,24829,85847,72797,89478,19681,,7142,1330,6149,,
2022-04-17,80826,1700,28330,72156,61854,73724,17805,,8427,1112,6751,,
2022-04-18,127115,2342,28109,110300,102032,136265,20447,,5143,814,5487,,
2022-04-19,79011,1380,22151,78077,64611,77848,17239,,7028,808,4863,,
2022-04-20,135294,2499,30121,118284,111416,152385,21808,,4554,797,4958,,
2022-04-21,132826,2507,29804,121416,112125,154833,22551,,4779,1087,5712,,
2022-04-22,132238,2444,30590,133400,118864,162330,26552,,8074,978,7034,,
2022-04-23,94147,1808,25065,122845,86991,113889,29210,,7361,1331,6179,,
2022-04-24,85996,1868,25736,107223,74695,94331,27559,,8836,1205,6516,,
2022-04-25,130628,2630,30864,135449,118177,162437,27981,,5816,1112,5738,,
2022-04-26,135692,2442,30654,135032,120274,166623,26927,,5884,1234,5297,,
2022-04-27,136850,2405,31714,137899,123023,168954,28106,,7766,1611,6072,,
2022-04-28,134917,2428,31513,139538,123390,169249,28893,,10501,2523,8165,,
2022-04-29,131587,2333,33001,147101,126802,167248,29978,,13138,3167,9431,,
2022-04-30,91828,2172,29464,109324,85864,97826,27603,,13038,3437,7854,,
2022-05-01,96847,2632,32859,93790,80061,88100,34608,,11557,3338,6904,,
2022-05-02,79871,1801,29323,72531,78935,91386,28428,,10035,2182,4550,,
2022-05-03,98664,2677,33959,80459,88111,106558,32938,,10614,2861,5990,,
2022-05-04,84201,1853,30039,71932,75458,84030,24813,,12496,4266,9143,,
2022-05-05,96880,1751,29715,89783,90866,109830,23638,,11659,4676,9646,,
2022-05-06,95905,1475,28562,90205,93942,112954,22461,,11975,4507,9379,,
2022-05-07,84595,1797,24930,75879,78392,85848,20340,,12319,4952,9897,,
2022-05-08,86814,1975,27421,74473,72525,81006,19408,,13248,3768,11373,,
2022-05-09,137333,2286,33861,119487,116460,154107,22686,,10182,1964,6805,,
2022-05-10,140629,2583,33325,123448,120921,162942,24049,,8414,1790,6074,,
2022-05-11,143470,2824,32280,125446,124979,168866,23560,,6857,1765,6055,,
2022-05-12,142006,2612,33310,125126,124694,169588,24592,,7631,2307,7787,,
2022-05-13,143732,2682,33590,133506,132193,178090,26533,,11468,3077,10933,,
2022-05-14,105644,2340,27392,93269,98192,123882,24736,,11873,4352,10595,,
2022-05-15,103513,2342,31233,87355,91144,111061,27198,,11485,4442,11324,,
